
2023/07/18 (18:44:33) | ===> btop++ v.1.2.13
2023/07/18 (18:44:33) | INFO: Logger set to DEBUG
2023/07/18 (18:44:34) | INFO: Logger set to INFO

2023/08/16 (11:28:54) | ===> btop++ v.1.2.13
2023/08/16 (11:28:54) | ERROR: Stall in Runner thread, restarting!

2023/08/16 (11:29:07) | ===> btop++ v.1.2.13
2023/08/16 (11:29:07) | ERROR: Stall in Runner thread, restarting!

2024/02/15 (09:23:26) | ===> btop++ v.1.3.2
2024/02/15 (09:23:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/15 (09:50:29) | ===> btop++ v.1.3.2
2024/02/15 (09:50:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/15 (09:52:13) | ===> btop++ v.1.3.2
2024/02/15 (09:52:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/15 (19:28:45) | ===> btop++ v.1.3.2
2024/02/15 (19:28:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/15 (20:16:43) | ===> btop++ v.1.3.2
2024/02/15 (20:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/18 (18:39:17) | ===> btop++ v.1.3.2
2024/02/18 (18:39:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:40:00) | ===> btop++ v.1.3.2
2024/02/20 (19:40:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:44:52) | ===> btop++ v.1.3.2
2024/02/20 (19:44:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:45:05) | ===> btop++ v.1.3.2
2024/02/20 (19:45:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (09:11:25) | ===> btop++ v.1.3.2
2024/02/27 (09:11:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (13:04:12) | ===> btop++ v.1.3.2
2024/03/09 (13:04:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (13:04:45) | ===> btop++ v.1.3.2
2024/03/09 (13:04:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/10 (18:50:16) | ===> btop++ v.1.3.2
2024/03/10 (18:50:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (14:01:45) | ===> btop++ v.1.3.2
2024/03/15 (14:01:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/30 (14:59:32) | ===> btop++ v.1.3.2
2024/03/30 (14:59:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
